clean_text,clean_text_baseline,is_ambiguous
2 The making of grants to fund the direct provision of health care to persons.,2 the making of grants to fund the direct provision of health care to persons,0
6 Where applicable any additional software a Complete EHR or EHR Module relied upon to demonstrate its compliance with a certification criterion or criteria adopted by the Secretary and,6 where applicable any additional software a complete ehr or ehr module relied upon to demonstrate its compliance with a certification criterion or criteria adopted by the secretary and,1
C A reference in such provision to protected health information refers to protected health information that is created or received by or on behalf of the health care component of the covered entity and,c a reference in such provision to protected health information refers to protected health information that is created or received by or on behalf of the health care component of the covered entity and,0
The Support for Referral Recommendations capabilities should conform to the IN 1.4 Patient Access Management requirements.,the support for referral recommendations capabilities should conform to the in 14 patient access management requirements,1
d A party seeking a subpoena must file a written motion not less than 30 days before the date fixed for the hearing unless otherwise allowed by the ALJ for good cause shown.,d a party seeking a subpoena must file a written motion not less than 30 days before the date fixed for the hearing unless otherwise allowed by the alj for good cause shown,1
B For the following data elements the applicable standard must be used,b for the following data elements the applicable standard must be used,1
The solution should communicate supporting detailed documentation to the correct service provider of the diagnostic test.,the solution should communicate supporting detailed documentation to the correct service provider of the diagnostic test,1
170.202 Transport standards.,170202 transport standards,0
The Clinical Decision Support capability should conform to function IN.2.5.1 Manage Unstructured Health Record Information to ensure data integrity through all changes.,the clinical decision support capability should conform to function in251 manage unstructured health record information to ensure data integrity through all changes,1
It also establishes the processes accreditation organizations must follow to request approval from the National Coordinator and that the National Coordinator in turn will follow to approve an accreditation organization under the ONC HIT Certification Program as well as certain ongoing responsibilities for an ONC-AA.,it also establishes the processes accreditation organizations must follow to request approval from the national coordinator and that the national coordinator in turn will follow to approve an accreditation organization under the onc hit certification program as well as certain ongoing responsibilities for an oncaa,0
The product shall be available for use 24 hours per day 365 days per year,the product shall be available for use 24 hours per day 365 days per year,0
4 The methodology and standards for determining the hardship exception to the payment adjustments,4 the methodology and standards for determining the hardship exception to the payment adjustments,0
The system shall provide the ability to save report parameters for generating subsequent reports.,the system shall provide the ability to save report parameters for generating subsequent reports,0
2 If the National Coordinator determines that no accreditation organization has met the standard specified in 170.504b then the organization that was selected as the ONC-AA on a preliminary basis pursuant to paragraph c of this section will be approved as the ONC-AA on a final basis.,2 if the national coordinator determines that no accreditation organization has met the standard specified in 170504b then the organization that was selected as the oncaa on a preliminary basis pursuant to paragraph c of this section will be approved as the oncaa on a final basis,1
e Although relevant evidence must be excluded if it is privileged under Federal law.,e although relevant evidence must be excluded if it is privileged under federal law,1
HL7 Version 3 Implementation Guide Context-Aware Knowledge Retrieval Infobutton Service-Oriented Architecture Implementation Guide incorporated by reference in 170.299.,hl7 version 3 implementation guide contextaware knowledge retrieval infobutton serviceoriented architecture implementation guide incorporated by reference in 170299,0
A covered entity must mitigate to the extent practicable any harmful effect that is known to the covered entity of a use or disclosure of protected health information in violation of its policies and procedures or the requirements of this subpart by the covered entity or its business associate.,a covered entity must mitigate to the extent practicable any harmful effect that is known to the covered entity of a use or disclosure of protected health information in violation of its policies and procedures or the requirements of this subpart by the covered entity or its business associate,0
Only registered customers can purchase streaming movies.,only registered customers can purchase streaming movies,1
The patient has authenticated himself or herself in the iTrust Medical Records system UC3.,the patient has authenticated himself or herself in the itrust medical records system uc3,0
ii Documents the methods and results of the analysis that justify such determination or,ii documents the methods and results of the analysis that justify such determination or,0
Each message element of a transaction should be loggable each time it enters or leaves a host system of the solution.,each message element of a transaction should be loggable each time it enters or leaves a host system of the solution,1
Functionality to include a unique task list for each defined position.,functionality to include a unique task list for each defined position,0
If the covered entity knows that the e-mail transmission has failed a paper copy of the notice must be provided to the individual.,if the covered entity knows that the email transmission has failed a paper copy of the notice must be provided to the individual,1
The Secretary adopts the following certification criteria for Complete EHRs or EHR Modules designed to be used in an ambulatory setting.,the secretary adopts the following certification criteria for complete ehrs or ehr modules designed to be used in an ambulatory setting,1
Also functionality for Charge Services or Documentation Management to support at the capture of charges based upon the completion of tasks.,also functionality for charge services or documentation management to support at the capture of charges based upon the completion of tasks,0
a Certain material is incorporated by reference into this subpart with the approval of the Director of the Federal Register under 5 U.S.C. 552a and 1 CFR part 51.,a certain material is incorporated by reference into this subpart with the approval of the director of the federal register under 5 usc 552a and 1 cfr part 51,0
3.2.6.5 Logging.,3265 logging,0
2i Objective.,2i objective,0
The website shall be capable of supporting 100 000 customers.,the website shall be capable of supporting 100 000 customers,0
e Electronic copy of discharge instructions.,e electronic copy of discharge instructions,0
3.2.3.2 Main Flow.,3232 main flow,0
Be sure to check with your Administrator as the location of your OpenEMR installation may be different.,be sure to check with your administrator as the location of your openemr installation may be different,1
The hospital-based exclusion in paragraph c of this section does not apply to the Medicaid-EP qualifying based on practicing predominantly at a FQHC or RHC.,the hospitalbased exclusion in paragraph c of this section does not apply to the medicaidep qualifying based on practicing predominantly at a fqhc or rhc,0
The solution should allow CCHCS to prioritize or rank the importance of the interaction possibly and possibly warning.,the solution should allow cchcs to prioritize or rank the importance of the interaction possibly and possibly warning,1
Auditing and logging in the System includes at a minimum authenticated access configuration changes privileged access such as use of administrative rights and change of rights and privileges.,auditing and logging in the system includes at a minimum authenticated access configuration changes privileged access such as use of administrative rights and change of rights and privileges,1
The solution should present recommended preventative or wellness services needed based upon clinical test results.,the solution should present recommended preventative or wellness services needed based upon clinical test results,1
495.306 Establishing patient volume.,495306 establishing patient volume,0
A bolded row for showing the message subject now preceded by RE the name of the sender and timestamp is then visible in the LHCP's message inbox.,a bolded row for showing the message subject now preceded by re the name of the sender and timestamp is then visible in the lhcps message inbox,0
495.10 Participation requirements for EPs eligible hospitals and CAHs.,49510 participation requirements for eps eligible hospitals and cahs,0
All events are logged UC5.,all events are logged uc5,1
The three types of ticket retrieval requests are 1 Request for original receipt 2 Request for a copy of the receipt or 3 Request for a portfolio.,the three types of ticket retrieval requests are 1 request for original receipt 2 request for a copy of the receipt or 3 request for a portfolio,0
The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,the system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined,1
ii If the ALJ finds that there is substantial prejudice the ALJ may exclude the evidence or if he or she does not exclude the evidence must postpone the hearing for such time as is necessary for the objecting party to prepare and respond to the evidence unless the objecting party waives postponement.,ii if the alj finds that there is substantial prejudice the alj may exclude the evidence or if he or she does not exclude the evidence must postpone the hearing for such time as is necessary for the objecting party to prepare and respond to the evidence unless the objecting party waives postponement,1
An LHCP or patient is a registered user of the iTrust Medical Records system UC2.,an lhcp or patient is a registered user of the itrust medical records system uc2,0
By default the patient is presented with a list sorted by dates most recent access first.,by default the patient is presented with a list sorted by dates most recent access first,1
The system has the capability to address the need for an Electronic Medication Administration Record EMAR.,the system has the capability to address the need for an electronic medication administration record emar,0
Confidentiality means the property that data or information is not made available or disclosed to unauthorized persons or processes.,confidentiality means the property that data or information is not made available or disclosed to unauthorized persons or processes,0
1 42 U.S.C. 1320d1320d4 1320d7 and 1320d8,1 42 usc 1320d1320d4 1320d7 and 1320d8,0
"The system has the ability to support postoperative nursing documentation including,0,0,0 LACountyEHRRequirements - parsed.json699,1 Forms-based nursing documentation of postoperative case information,0,0,0 LACountyEHRRequirements - parsed.json700,2 Scheduled case information defaults into nursing documentation and allow for documentation by exception,0,0,0 LACountyEHRRequirements - parsed.json701,3 Pre-defined values default from preference cards and allow for documentation by exception,0,0,0 LACountyEHRRequirements - parsed.json702,4 Case pick list usage documentation by exception",the system has the ability to support postoperative nursing documentation including000 lacountyehrrequirements parsedjson6991 formsbased nursing documentation of postoperative case information000 lacountyehrrequirements parsedjson7002 scheduled case information defaults into nursing documentation and allow for documentation by exception000 lacountyehrrequirements parsedjson7013 predefined values default from preference cards and allow for documentation by exception000 lacountyehrrequirements parsedjson7024 case pick list usage documentation by exception,0
Only after these measures have been taken can further policies in IT security be developed.,only after these measures have been taken can further policies in it security be developed,1
The covered entity must make reasonable efforts to inform and provide the amendment within a reasonable time to,the covered entity must make reasonable efforts to inform and provide the amendment within a reasonable time to,0
All adjustment requests must be sent to the Cardmember Posting and Billing System.,all adjustment requests must be sent to the cardmember posting and billing system,0
Interventions triggered in accordance with paragraphs a8i through iii of this section must automatically and electronically occur when a user is interacting with EHR technology.,interventions triggered in accordance with paragraphs a8i through iii of this section must automatically and electronically occur when a user is interacting with ehr technology,0
Intelligent spell checking of text fields,intelligent spell checking of text fields,0
For Medicaid eligible hospitals that adopt implement or upgrade certified EHR technology in their first payment year the meaningful use objectives and associated measures of the Stage 1 criteria specified in paragraphs f and,for medicaid eligible hospitals that adopt implement or upgrade certified ehr technology in their first payment year the meaningful use objectives and associated measures of the stage 1 criteria specified in paragraphs f and,0
ii Activity history log.,ii activity history log,0
An EP who neither transfers a patient to another setting nor refers a patient to another provider during the EHR reporting period.,an ep who neither transfers a patient to another setting nor refers a patient to another provider during the ehr reporting period,0
1 The National Coordinator may propose to revoke an ONC-ATCB's status if the National Coordinator has reliable evidence that the ONC-ATCB committed a Type-1 violation or,1 the national coordinator may propose to revoke an oncatcbs status if the national coordinator has reliable evidence that the oncatcb committed a type1 violation or,1
5 A subpoena under this section is enforceable through the district court of the United States for the district where the subpoenaed natural person resides or is found or where the entity transacts business.,5 a subpoena under this section is enforceable through the district court of the united states for the district where the subpoenaed natural person resides or is found or where the entity transacts business,0
The estimator shall search for available recycled parts using a list of preferred parts suppliers.,the estimator shall search for available recycled parts using a list of preferred parts suppliers,0
5 HL7 Version 3 Standard Context-Aware Retrieval Application Infobutton Release 1 July 2010 IBR approved for 170.204.,5 hl7 version 3 standard contextaware retrieval application infobutton release 1 july 2010 ibr approved for 170204,0
3 Is resubmitted upon a change in provider representative.,3 is resubmitted upon a change in provider representative,1
3.2.18.2 Main Flow.,32182 main flow,0
The system has capability to have a patient education module that addresses the needs of the LA County population e.g. multilingual ADA compliant etc..,the system has capability to have a patient education module that addresses the needs of the la county population eg multilingual ada compliant etc,1
The product interface should be fast.,the product interface should be fast,1
The solution should conform to DC.1.6.1 Present Guidelines and Protocols for Planning Care and provide the ability to use locally or non-locally developed templates guidelines and protocols for the creation of patient-specific plans of care and treatment.,the solution should conform to dc161 present guidelines and protocols for planning care and provide the ability to use locally or nonlocally developed templates guidelines and protocols for the creation of patientspecific plans of care and treatment,1
The health care claims or equivalent encounter information transaction is the transmission of either of the following,the health care claims or equivalent encounter information transaction is the transmission of either of the following,1
